$L_{REGCOIL}$,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
26.324486155843804,13.306705614688013,10.793124304801752,11.726019689564348,12.106885333208334,13.306705614688017,8.067708547282844
4.871113464121001,4.070867116653321,2.8311135641154546,3.7407927302604698,3.7445870281658076,4.070867116653321,2.082577621262101
2.198612395428312,1.59652943315574,1.0474992839808028,1.3048821721444521,1.3130282394692891,1.5965294331557396,0.6850886504586696
2.221093737867008,1.562721734889276,1.1208803287137534,1.3078552512953654,1.2749954805021497,1.5627217348892755,0.6654854385532901
5.460508367851708,3.478691410024585,2.63807371127412,2.7418773722007246,3.135756482302409,3.478691410024585,1.7466133966612933
2.1606169573479717,1.696538734541101,1.2499713813189985,1.4562016668886058,1.4937490726875722,1.6965387345411014,0.6718437124508516
27.169573422949046,14.97157832889654,13.745724963890986,12.325499353464238,13.167928860950774,14.971578328896538,8.124191563638616
5.491268216581562,3.275272211654665,2.1718254604016467,2.615420148108375,2.83732012572335,3.2752722116546664,1.607640378058225
4.468431308870471,3.4109236424151104,2.5220948490366104,2.9376772124167805,3.073049754292212,3.410923642415111,1.6940812403477554
3.753988496319387,2.2202021761648725,1.4111886108715637,1.8610371540623623,1.796084924140904,2.2202021761648725,0.9690259846081881
3.4747196564007004,2.7640442403246914,2.172028688184279,2.4242153604439616,2.4484471901830376,2.7640442403246914,1.349071842111743
2.7054616346323352,2.1729244843666082,1.4781669553058514,1.9138123160276057,2.001066369982401,2.1729244843666082,0.9385152404236055
4.787014024398859,4.129252893995931,2.9534195195421913,3.746658718447689,3.8047471974636,4.12925289399593,2.080655573739043
2.628093708199191,2.1423505765959545,1.6620142875428554,1.8818809490817239,1.948359605711665,2.1423505765959545,0.9315338130187039
2.7569247993231607,2.0958176684433627,1.5171889793417463,1.754958824074925,1.8306582329116665,2.0958176684433623,0.9541135062241031
4.030982474439786,2.2624391234056915,1.530459700999207,1.8146257292477062,1.8483187079754169,2.2624391234056915,1.0598746205059126
1.6952148660970972,1.0485113001861406,0.7179013024239136,0.9989726374387184,0.8337875288179503,1.0485113001861406,0.3985623054510543
2.7293137003473387,2.147610965268361,1.2316239815180738,1.7649540648298767,1.9447323264292664,2.1476109652683615,0.9810195653204254
5.447975276418861,2.8479105533195184,1.880358940639969,2.3693177349799464,2.2022556555691937,2.847910553319518,1.3561048450219946
4.311782923535201,2.8181969844565407,1.8048878327716975,2.609434063541141,2.405917357327226,2.81819698445654,1.4415425041739245
3.4727683747020146,2.72263182292348,1.800079536353289,2.3986220231976723,2.391738574717593,2.7226318229234807,1.3280131613627506
1.8493781561354252,1.4535552187904752,0.9997442327907599,1.1172031738833166,1.308341926179734,1.4535552187904752,0.535216180812112
4.100122725464596,2.424417721598469,1.4385578603553757,1.8897089334575665,2.070839633378641,2.4244177215984686,1.168141639980181
5.500198969425958,2.7384933754014162,1.6606350477193335,2.3590851718665355,2.0665715740504575,2.7384933754014154,1.4071667243869708
27.26203528242086,10.072486907027047,10.7284244694296,8.625139170673197,8.693195267954426,10.072486907027047,6.373906978441717
3.4748486929888602,2.5501824109938305,1.9288526715737773,2.2516455496949708,2.163066996190928,2.5501824109938305,1.2547373938494388
2.8552523543679698,2.252817845565121,1.4550682479951438,1.9387089834168143,2.0570953524904154,2.252817845565121,1.0075335785743869
4.077061947164002,2.4153678316348253,1.4507255177485512,1.8897948256312915,2.065075928720484,2.4153678316348253,1.1568536065842736
